Artist,Song,Lyrics,Class
Pharrell Williams,Happy,crazy sunshine break hot air balloon space air like care baby way happy clap feel like room roof clap feel like happiness truth clap know happiness clap feel like wanna come bad news talk get hold probably warn fine offense waste time bring bring level high bring bring say bring say clap feel like wanna come,Happy
Bobby McFerrin,Don't Worry Be Happy,little song write want sing note note worry happy life trouble worry double worry happy be get place lay head somebody come take bed landlord rent late litigate worry happy look happy hey phone number worry happy be get cash be get style be get gal smile worry happy 'cause worry face frown bring everybody worry happy song write hope learn note note like good little child listen say life expect trouble worry double worry happy happy worry worry happy smile face bring everybody like worry soon pass worried ,Happy
Maroon 5,Sugar,hurt baby break need loving love need weak get beg begging knee wanna need love wanna deep love kill away ooh baby 'cause care wanna got to little taste sugar yes will come right 'cause need little love little sympathy good loving alright need little sweetness life sugar yes babe broken piece pick leave hang hang come insecure thing thing live sugar yes sugar yes  want red velvet want sugar sweet let touch somebody got to man be way 'cause girl hot southern day wanna play game got to afraid shy shit makeup sugar sugar yes will come right 'cause need right 'cause need need little sweetness life ,Happy
WALK THE MOON,Shut Up and Dance,dare look eye say hold say shut dance woman destiny say ooh hoo shut dance victim night chemical physical kryptonite helpless bass fade light bind bind take arm know happen take floor say backless dress beat sneak discothèque teenage dream feel chest look know bind bind say ooh hoo girl deep eye think future realize chance shut dance dare look ooh hoo shut dance,Happy
Maroon 5,Moves Like Jagger, shoot star feel right aim heart feel like away okay swear behave want control wait naked kid ego big shit go like uh tongue know uh kiss til drunk want move like get move like get move like uh need try control uh look eye move like maybe hard feel like break scarred feel right  believe get key car ride want inside wanna steer shift gear  get move like uh need try control get move like uh wanna know smile control night share secret going to uh watch learn will twice head toe ooh baby rub right  hey hey hey tongue know tongue kiss till drunk get move like get move like needa try control ooh look eye ooh get move like,Happy
Bruno Mars,The Lazy Song,today feel like wanna lay bed feel like pick phone leave message tone 'cause today swear going to kick foot stare fan turn tv throw hand pant gon tell nah lounge couch snuggie click teach 'cause castle freaking man yes say say say 'cause woo hoo woo hoo ooh tomorrow wake p90x meet nice girl nice sex going to scream great god great mess college degree bet old man proud sorry pop wait yes say be going to comb hair 'cause be go  strut birthday suit let hang loose  today feel like ,Happy
Fitz and the Tantrums,HandClap,turn somebody save soul 'cause sinnin city know trouble lover get lose control like drug luxury sugar gold want good life good night hard hold 'cause know hand clap say hand clap somebody save soul 'cause sin city know want sex affection holdin close ha ha ha night star come live soul need believe hold 'cause need good right screamin til sun come wake sound knee prayer hand clap turn flesh searchin bad good deny like strange gimme danger wrong right secret freeway keeper crime fear conviction grape wrath sweeten wine know   handclap huh,Happy
LMFAO,Party Rock Anthem,rock  woo let party rocker house tonight everybody good time gon lose mind everybody good time clap party rocker house tonight everybody good time feel baby gon lose mind wanna shake club party rock look girl jock huh non stop spot booty move weight like block woo drank got know tight jean tattoo 'cause rock roll half black half white domino money dough runnin hoe like get devilish flow rock roll halo party crew reppin rise lead hey party rocker house tonight gon lose mind everybody good time let day shufflin shake shake step fast girl throw cash money mad stop bad shot round fill cup mess wanna shake wanna naked hand sound hand sound woo hand sound hand sound let  sound hand woo hand party rocker house tonight hand woo everybody good time hand gon lose mind hand everybody good good good time hand feel baby,Happy
Avicii,Wake Me Up,feel way darkness guide beat heart tell journey end know start tell young understand catch dream life pass open eye fine wake wise old time find lose know lose try carry weight world hand hope chance travel world plan wish stay forever young afraid close eye life love prize know lose know lose know know know ,Happy
Sister Act 2,Oh happy Day,happy day happy day wash wash wash wash wash sin away happy day  la  la  la wash wash wash sin away teach teach wash wash wash fight pray fight pray fight pray teach live rejoice yes live rejoicing day day day happy day happy day sin away happy day talk happy day happy day teach wash wash fight pray sing sing sing live everybody live rejoice day sing like mean talk happy day happy day talk happy day happy day happy day happy day ooh talk happy day happy day know talk happy day happy day sing sing sing happy day  happy,Happy
