,Artist,Song,Class,probability_vector,label_vector
0,Pharrell Williams,Happy,Happy,"[0.1773933470249176, 0.3619748651981354, 0.2839112877845764, 0.31790459156036377, 0.04013872146606445, 0.0966787040233612, 0.14813056588172913]","[0, 1, 0, 0, 0, 0, 0]"
1,Bobby McFerrin,Don't Worry Be Happy,Happy,"[0.36282092332839966, 0.24041086435317993, 0.1320197880268097, 0.24924632906913757, 0.0011293590068817139, 0.02581775188446045, 0.03716805577278137]","[1, 0, 0, 0, 0, 0, 0]"
2,Maroon 5,Sugar,Happy,"[0.1336784064769745, 0.22211742401123047, 0.3099755048751831, 0.21456950902938843, 0.011063575744628906, 0.027715235948562622, 0.0003101229667663574]","[0, 0, 1, 0, 0, 0, 0]"
3,WALK THE MOON,Shut Up and Dance,Happy,"[0.30611640214920044, 0.3030749559402466, 0.21847954392433167, 0.22950515151023865, 0.0025416910648345947, 0.03949916362762451, 0.10424336791038513]","[1, 0, 0, 0, 0, 0, 0]"
4,Maroon 5,Moves Like Jagger,Happy,"[0.25722429156303406, 0.21686887741088867, 0.24095571041107178, 0.17571008205413818, 0.0021165013313293457, 0.0667279064655304, 0.0009635388851165771]","[1, 0, 0, 0, 0, 0, 0]"
5,Bruno Mars,The Lazy Song,Happy,"[0.2997434437274933, 0.15373653173446655, 0.24310636520385742, 0.12878510355949402, 0.00044146180152893066, 0.010413438081741333, 0.03334042429924011]","[1, 0, 0, 0, 0, 0, 0]"
6,Fitz and the Tantrums,HandClap,Happy,"[0.13222536444664001, 0.3219420313835144, 0.2768505811691284, 0.2222975790500641, 0.0022731125354766846, 0.029675841331481934, 0.007339894771575928]","[0, 1, 0, 0, 0, 0, 0]"
7,LMFAO,Party Rock Anthem,Happy,"[0.18930715322494507, 0.12095049023628235, 0.12171873450279236, 0.11811476945877075, 1.7247341020265594e-05, 0.04816308617591858, 0.11589756608009338]","[1, 0, 0, 0, 0, 0, 0]"
8,Avicii,Wake Me Up,Happy,"[0.11549708247184753, 0.3871181607246399, 0.3026314973831177, 0.2664943337440491, 0.032144516706466675, 0.2125125527381897, 0.038280367851257324]","[0, 1, 0, 0, 0, 0, 0]"
9,Sister Act 2,Oh happy Day,Happy,"[0.2700940668582916, 0.33346784114837646, 0.16089123487472534, 0.2588631510734558, 0.01574113965034485, 0.05063125491142273, 0.118645578622818]","[0, 1, 0, 0, 0, 0, 0]"
